branch_id,branch_name,city,state,region,employees
B001,Howrah South,Howrah,West Bengal,East,168
B002,Vijayawada City Center,Vijayawada,Andhra Pradesh,South,42
B003,Ranchi Tech Park,Ranchi,Jharkhand,East,84
B004,Siliguri South,Siliguri,West Bengal,East,103
B005,Ludhiana Bypass,Ludhiana,Punjab,North,84
B006,Visakhapatnam City Center,Visakhapatnam,Andhra Pradesh,South,48
B007,Madurai South,Madurai,Tamil Nadu,South,71
B008,Aurangabad City Center,Aurangabad,Maharashtra,West,167
B009,New Delhi South,New Delhi,Delhi,North,150
B010,Bhilai West,Bhilai,Chhattisgarh,Central,91
B011,Cuttack Metro,Cuttack,Odisha,East,133
B012,Agra South,Agra,Uttar Pradesh,North,46
B013,Agra City Center,Agra,Uttar Pradesh,North,107
B014,Mangaluru Central,Mangaluru,Karnataka,South,196
B015,Bhubaneswar Expressway,Bhubaneswar,Odisha,East,114
B016,Ranchi East,Ranchi,Jharkhand,East,131
B017,Bhilai Hub,Bhilai,Chhattisgarh,Central,88
B018,Agra Central,Agra,Uttar Pradesh,North,133
B019,Gwalior Expressway,Gwalior,Madhya Pradesh,Central,137
B020,Mumbai City Center,Mumbai,Maharashtra,West,85
B021,Udaipur Central,Udaipur,Rajasthan,North,118
B022,Bhilai Main,Bhilai,Chhattisgarh,Central,124
B023,Bhopal West,Bhopal,Madhya Pradesh,Central,32
B024,Madurai Industrial Estate,Madurai,Tamil Nadu,South,69
B025,Nagpur Hub,Nagpur,Maharashtra,West,76
B026,Hyderabad Central,Hyderabad,Telangana,South,68
B027,Lucknow Expressway,Lucknow,Uttar Pradesh,North,216
B028,New Delhi Expressway,New Delhi,Delhi,North,175
B029,Chandigarh North,Chandigarh,Punjab,North,157
B030,Amritsar East,Amritsar,Punjab,North,76
B031,Guwahati Tech Park,Guwahati,Assam,East,204
B032,Mumbai Central,Mumbai,Maharashtra,West,46
B033,Nagpur Industrial Estate,Nagpur,Maharashtra,West,118
B034,Udaipur Bypass,Udaipur,Rajasthan,North,143
B035,Surat Expressway,Surat,Gujarat,West,210
B036,Bhubaneswar Metro,Bhubaneswar,Odisha,East,184
B037,Faridabad Metro,Faridabad,Haryana,North,193
B038,Vadodara Expressway,Vadodara,Gujarat,West,75
B039,Bhilai South,Bhilai,Chhattisgarh,Central,218
B040,Dehradun City Center,Dehradun,Uttarakhand,North,65
B041,Aurangabad North,Aurangabad,Maharashtra,West,109
B042,Visakhapatnam Hub,Visakhapatnam,Andhra Pradesh,South,47
B043,Nashik Tech Park,Nashik,Maharashtra,West,170
B044,Guwahati West,Guwahati,Assam,East,148
B045,Nashik South,Nashik,Maharashtra,West,101
B046,Jamshedpur West,Jamshedpur,Jharkhand,East,53
B047,Hyderabad North,Hyderabad,Telangana,South,94
B048,Faridabad South,Faridabad,Haryana,North,138
B049,Surat Tech Park,Surat,Gujarat,West,111
B050,Coimbatore Central,Coimbatore,Tamil Nadu,South,101
B051,Patna North,Patna,Bihar,East,33
B052,Mumbai Expressway,Mumbai,Maharashtra,West,131
B053,Bhubaneswar City Center,Bhubaneswar,Odisha,East,197
B054,Kolkata Main,Kolkata,West Bengal,East,116
B055,Coimbatore Metro,Coimbatore,Tamil Nadu,South,99
