account_id,customer_id,account_type,balance,branch_id,account_status,open_date
A10001,C23655,Loan Account,-80976.11,B002,Closed,2019-03-01
A10002,C15796,Savings,52310.44,B023,Dormant,2017-11-21
A10003,C00861,Checking,22625.91,B001,Active,2025-04-13
A10004,C05391,Savings,45582.07,B014,Active,2016-04-01
A10005,C29803,Savings,46777.59,B005,Active,2023-01-02
A10006,C21576,Fixed Deposit,130671.34,B001,Active,2026-05-07
A10007,C11965,Fixed Deposit,57443.71,B011,Active,2017-08-25
A10008,C11285,Checking,21235.21,B001,Dormant,2016-01-10
A10009,C22119,Savings,66628.53,B001,Active,2023-11-24
A10010,C06266,Checking,695.34,B006,Active,2022-08-11
A10011,C16851,Fixed Deposit,245695.67,B018,Active,2020-12-07
A10012,C29911,Savings,72968.37,B008,Closed,2018-12-14
A10013,C04427,Savings,20367.22,B013,Active,2017-05-16
A10014,C21963,Credit Card,-8637.9,B022,Active,2020-03-18
A10015,C14424,Fixed Deposit,143445.08,B011,Active,2021-09-22
A10016,C28021,Savings,63499.58,B020,Active,2021-08-06
A10017,C11364,Credit Card,-14085.09,B004,Active,2015-02-19
A10018,C27496,Checking,8013.75,B018,Dormant,2022-05-28
A10019,C16024,Savings,49678.79,B001,Active,2015-01-29
A10020,C08323,Credit Card,-14075.5,B025,Active,2020-04-11
A10021,C01686,Credit Card,-1609.97,B018,Active,2019-12-31
A10022,C00770,Savings,66531.26,B008,Active,2015-02-28
A10023,C26968,Checking,3541.77,B021,Active,2025-01-09
A10024,C23334,Credit Card,-8767.87,B008,Active,2025-12-23
A10025,C02434,Savings,38512.28,B013,Closed,2026-01-10
A10026,C05312,Checking,22747.37,B015,Active,2019-11-26
A10027,C05052,Savings,40887.32,B007,Active,2026-02-12
A10028,C06421,Savings,598.39,B008,Dormant,2024-07-27
A10029,C17569,Savings,10142.88,B001,Active,2019-05-07
A10030,C20940,Checking,29153.3,B006,Active,2024-05-23
A10031,C19770,Savings,59229.04,B002,Active,2016-02-05
A10032,C28694,Savings,1772.18,B015,Active,2015-09-01
A10033,C06397,Savings,1605.77,B005,Active,2022-11-01
A10034,C29420,Credit Card,-2232.78,B017,Active,2019-07-18
A10035,C27481,Checking,12709.48,B009,Active,2020-11-09
A10036,C08667,Savings,30803.63,B025,Active,2024-12-18
A10037,C25659,Loan Account,-13047.61,B002,Dormant,2019-05-19
A10038,C18943,Credit Card,-1544.83,B018,Closed,2018-09-02
A10039,C24234,Checking,13731.36,B009,Active,2019-02-25
A10040,C18432,Checking,27970.49,B002,Active,2018-06-30
A10041,C02748,Savings,34287.47,B012,Dormant,2024-05-14
A10042,C25552,Loan Account,-114921.5,B001,Active,2017-08-14
A10043,C26383,Savings,1943.88,B010,Active,2018-09-04
A10044,C00190,Checking,27793.43,B004,Active,2020-10-24
A10045,C19119,Checking,28288.46,B005,Active,2018-04-09
A10046,C03006,Fixed Deposit,192262.48,B017,Dormant,2021-08-07
A10047,C21043,Savings,72396.72,B018,Active,2022-08-19
A10048,C01900,Checking,1769.27,B008,Active,2024-05-07
A10049,C24119,Credit Card,-496.32,B023,Active,2023-05-29
A10050,C01268,Savings,64455.11,B020,Dormant,2016-05-08
A10051,C17913,Savings,9260.8,B013,Active,2018-11-27
A10052,C11395,Savings,3642.76,B018,Active,2021-08-15
A10053,C03557,Savings,2033.1,B008,Active,2023-01-21
A10054,C03891,Savings,9194.26,B015,Dormant,2019-02-12
A10055,C08839,Checking,28701.74,B024,Dormant,2016-03-25
A10056,C27465,Credit Card,-9445.14,B022,Active,2022-01-15
A10057,C14503,Loan Account,-76942.71,B025,Active,2015-04-16
A10058,C21778,Savings,29838.75,B024,Closed,2024-09-08
A10059,C10628,Savings,43091.26,B005,Active,2015-02-15
A10060,C08793,Fixed Deposit,73152.46,B008,Dormant,2018-09-07
A10061,C10556,Credit Card,-1524.53,B010,Active,2016-09-13
A10062,C10254,Checking,21684.65,B009,Active,2022-02-19
A10063,C08434,Savings,35166.41,B005,Dormant,2022-01-17
A10064,C10234,Fixed Deposit,72889.0,B025,Active,2019-08-29
A10065,C11017,Savings,22598.37,B002,Active,2025-08-27
A10066,C23898,Savings,52351.19,B010,Active,2016-04-26
A10067,C02613,Credit Card,-8849.83,B009,Active,2016-02-08
A10068,C23426,Checking,19809.94,B018,Active,2016-11-16
A10069,C25940,Savings,74064.4,B012,Active,2019-09-27
A10070,C22620,Checking,11129.08,B003,Dormant,2023-05-03
A10071,C21871,Credit Card,-8857.21,B004,Active,2021-07-31
A10072,C23484,Credit Card,-10175.84,B017,Active,2021-03-31
A10073,C26055,Savings,7193.06,B017,Closed,2020-03-15
A10074,C15788,Savings,70552.08,B025,Active,2020-07-15
A10075,C27133,Checking,26285.57,B016,Active,2015-04-12
A10076,C17160,Fixed Deposit,155284.87,B024,Active,2017-07-04
A10077,C12207,Savings,2285.68,B012,Closed,2019-10-09
A10078,C08227,Savings,62577.24,B009,Active,2024-12-13
A10079,C14542,Savings,5850.38,B001,Active,2020-02-04
A10080,C03153,Savings,10090.7,B017,Active,2015-03-20
A10081,C26532,Fixed Deposit,26371.18,B002,Active,2022-03-04
A10082,C01586,Savings,11405.22,B017,Active,2016-03-25
A10083,C03944,Credit Card,-5436.07,B005,Active,2020-03-08
A10084,C23940,Savings,6553.12,B008,Active,2018-07-06
A10085,C19458,Savings,47798.95,B001,Active,2020-12-30
A10086,C01022,Fixed Deposit,195271.64,B007,Active,2021-07-23
A10087,C11654,Checking,16091.04,B025,Active,2017-10-04
A10088,C10806,Checking,22381.95,B020,Active,2021-12-21
A10089,C13418,Credit Card,-9692.44,B009,Active,2021-01-10
A10090,C20228,Savings,56182.54,B022,Active,2024-07-05
A10091,C07990,Checking,34543.8,B010,Active,2018-03-03
A10092,C09693,Savings,25852.01,B025,Active,2023-07-02
A10093,C12991,Credit Card,-5861.74,B005,Active,2021-07-09
A10094,C06874,Checking,34008.19,B019,Active,2016-07-23
A10095,C05676,Savings,2872.03,B012,Active,2022-10-21
A10096,C00162,Fixed Deposit,73462.55,B015,Active,2026-02-06
A10097,C04298,Checking,5707.88,B023,Active,2024-06-02
A10098,C26558,Checking,21338.2,B014,Active,2018-02-25
A10099,C00996,Savings,13718.45,B010,Active,2023-01-12
A10100,C29488,Fixed Deposit,81878.42,B025,Closed,2024-05-28
A10101,C11535,Loan Account,-114130.34,B013,Active,2020-08-13
A10102,C29128,Checking,1980.44,B022,Active,2017-07-14
A10103,C07630,Savings,22609.1,B016,Active,2026-04-06
A10104,C28375,Savings,17320.47,B009,Active,2015-07-28
A10105,C25852,Savings,32519.2,B003,Active,2017-04-05
A10106,C01017,Checking,34931.19,B012,Closed,2020-12-16
