loan_id,customer_id,loan_type,loan_amount,interest_rate,emi,credit_score,loan_status,default_flag,remaining_balance
L00001,C15796,Personal Loan,3000,0.1054,65,782,Active,No,600
L00002,C00861,Education Loan,10000,0.0805,244,713,Active,No,6400
L00003,C05391,Education Loan,18000,0.09449999999999999,294,647,Closed,No,0
L00004,C21576,Education Loan,34000,0.1002,450,620,Active,No,21900
L00005,C11965,Home Loan,350000,0.0737,3219,638,Closed,No,0
L00006,C11285,Home Loan,250000,0.0665,1605,703,Active,No,41300
L00007,C06266,Education Loan,8000,0.085,99,658,Closed,No,0
L00008,C16851,Education Loan,68000,0.09970000000000001,1724,598,Closed,No,0
L00009,C04427,Personal Loan,40000,0.1076,1860,775,Active,No,5300
L00010,C21963,Personal Loan,11000,0.1256,248,702,Active,No,8800
L00011,C14424,Home Loan,250000,0.0712,1956,713,Active,No,89600
L00012,C11364,Business Loan,130000,0.1263,2933,620,Active,No,9400
L00013,C16024,Home Loan,450000,0.0855,3919,601,Active,No,367000
L00014,C08323,Home Loan,175000,0.0705,1242,676,Active,No,19100
L00015,C01686,Car Loan,64000,0.114,1404,517,Active,No,8600
L00016,C00770,Home Loan,175000,0.06849999999999999,1341,756,Active,No,76600
L00017,C02434,Business Loan,240000,0.1193,7963,630,Active,No,115200
L00018,C05312,Home Loan,425000,0.0765,3463,667,Active,Yes,253000
L00019,C05052,Home Loan,500000,0.0691,3505,726,Closed,No,0
L00020,C06421,Personal Loan,19000,0.1271,901,670,Active,No,3800
L00021,C17569,Personal Loan,27000,0.1348,1290,590,Active,No,8800
L00022,C20940,Home Loan,175000,0.05139999999999999,1168,817,Active,No,154600
L00023,C19770,Personal Loan,37000,0.1404,1012,559,Active,Yes,30500
L00024,C06397,Personal Loan,3000,0.1503,84,499,Active,No,200
L00025,C08667,Education Loan,60000,0.0774,720,764,Active,No,19500
L00026,C18943,Home Loan,375000,0.102,3461,565,Active,No,114500
L00027,C18432,Business Loan,200000,0.0934,9168,796,Active,No,163400
L00028,C02748,Car Loan,34000,0.0843,837,722,Closed,No,0
L00029,C00190,Home Loan,300000,0.0654,2033,714,Closed,No,0
L00030,C19119,Home Loan,250000,0.08789999999999999,1974,641,Active,No,27900
L00031,C03006,Personal Loan,9000,0.1264,426,619,Active,No,2400
L00032,C21043,Home Loan,475000,0.0789,4509,658,Closed,No,0
L00033,C01900,Home Loan,225000,0.075,1813,615,Closed,No,0
L00034,C01268,Home Loan,175000,0.0581,1107,792,Active,No,152700
L00035,C17913,Car Loan,42000,0.09609999999999999,770,626,Active,No,18000
L00036,C11395,Personal Loan,7000,0.1076,151,733,Active,No,6000
L00037,C03557,Home Loan,100000,0.0595,596,775,Closed,No,0
L00038,C03891,Personal Loan,16000,0.1302,539,615,Active,No,1200
L00039,C08839,Car Loan,28000,0.0894,696,722,Active,No,8000
L00040,C14503,Home Loan,150000,0.09910000000000001,1306,614,Closed,No,0
L00041,C21778,Education Loan,32000,0.0819,652,675,Closed,No,0
L00042,C10628,Personal Loan,8000,0.122,179,651,Active,No,2100
L00043,C08793,Business Loan,210000,0.1252,3766,630,Closed,No,0
L00044,C10556,Home Loan,225000,0.0682,2000,703,Closed,No,0
L00045,C10254,Business Loan,195000,0.1214,3457,586,Active,No,166300
L00046,C08434,Car Loan,42000,0.081,1318,768,Active,No,8900
L00047,C10234,Personal Loan,17000,0.137,462,598,Active,No,13000
L00048,C11017,Personal Loan,27000,0.1394,1296,582,Closed,No,0
L00049,C02613,Home Loan,300000,0.08460000000000001,2408,668,Active,No,93300
L00050,C21871,Business Loan,240000,0.1185,7954,658,Active,Yes,167600
L00051,C15788,Car Loan,64000,0.0806,1300,720,Active,No,53200
L00052,C17160,Home Loan,350000,0.0712,2739,697,Active,No,220000
L00053,C12207,Home Loan,125000,0.09880000000000001,1334,551,Active,Yes,77800
L00054,C08227,Home Loan,325000,0.0588,2306,773,Closed,No,0
L00055,C14542,Car Loan,40000,0.098,737,666,Closed,No,0
L00056,C03153,Car Loan,30000,0.0877,537,710,Active,No,4100
L00057,C01586,Personal Loan,11000,0.0984,966,850,Closed,No,0
L00058,C03944,Home Loan,350000,0.0522,2353,799,Active,No,306200
L00059,C19458,Personal Loan,29000,0.1205,1366,707,Active,No,2200
L00060,C01022,Personal Loan,5000,0.1364,448,573,Active,No,2400
L00061,C11654,Home Loan,450000,0.0867,3514,574,Active,No,180800
L00062,C10806,Home Loan,225000,0.0561,1397,788,Active,No,163400
L00063,C13418,Home Loan,375000,0.0742,2752,655,Active,No,327600
L00064,C20228,Business Loan,30000,0.1132,657,675,Active,No,25600
L00065,C07990,Car Loan,46000,0.1055,865,592,Closed,No,0
L00066,C09693,Business Loan,80000,0.1102,3729,727,Active,No,42100
L00067,C12991,Home Loan,150000,0.0518,1005,787,Active,No,17200
L00068,C06874,Education Loan,28000,0.0612,313,819,Active,No,17500
L00069,C05676,Car Loan,50000,0.0946,1049,651,Active,No,34100
L00070,C00162,Personal Loan,16000,0.1168,419,744,Closed,No,0
L00071,C04298,Home Loan,175000,0.0654,1528,681,Active,No,30600
L00072,C00996,Car Loan,28000,0.083,688,764,Active,No,20400
L00073,C11535,Business Loan,140000,0.1103,3046,689,Active,No,30000
L00074,C07630,Home Loan,500000,0.086,3880,619,Defaulted,Yes,281400
L00075,C01017,Home Loan,400000,0.06480000000000001,2696,802,Active,No,193300
L00076,C08530,Car Loan,42000,0.08900000000000001,870,698,Active,No,35900
L00077,C17263,Business Loan,250000,0.1108,11661,660,Active,No,190100
L00078,C09269,Car Loan,46000,0.08380000000000001,941,705,Active,No,22000
L00079,C21272,Home Loan,250000,0.0803,1935,627,Active,No,182300
L00080,C12186,Personal Loan,3000,0.1086,77,725,Active,No,1300
L00081,C21244,Personal Loan,12000,0.1223,400,673,Closed,No,0
L00082,C06332,Education Loan,18000,0.09570000000000001,234,622,Closed,No,0
L00083,C08572,Car Loan,44000,0.0521,1323,850,Active,No,32600
L00084,C07209,Personal Loan,34000,0.1346,3044,604,Active,No,5000
L00085,C05277,Home Loan,175000,0.07200000000000001,1593,720,Active,No,103200
L00086,C18447,Business Loan,65000,0.1168,3050,694,Closed,No,0
L00087,C16449,Car Loan,38000,0.09789999999999999,803,602,Active,No,9900
L00088,C16217,Business Loan,175000,0.1252,5856,661,Closed,No,0
L00089,C08007,Personal Loan,25000,0.1351,677,575,Closed,No,0
L00090,C02569,Education Loan,8000,0.0668,92,850,Closed,No,0
L00091,C21848,Education Loan,34000,0.09369999999999999,553,667,Closed,No,0
L00092,C02028,Home Loan,250000,0.08039999999999999,1936,674,Closed,No,0
L00093,C02696,Business Loan,155000,0.0877,7065,850,Active,No,13700
L00094,C15423,Home Loan,375000,0.08789999999999999,2961,619,Closed,No,0
L00095,C05259,Car Loan,12000,0.0722,206,800,Closed,No,0
L00096,C06737,Business Loan,160000,0.09720000000000001,5142,740,Active,No,136900
L00097,C00392,Home Loan,300000,0.09939999999999999,2713,521,Closed,No,0
L00098,C13987,Car Loan,24000,0.1004,775,658,Active,No,16800
L00099,C12667,Personal Loan,20000,0.1098,1767,727,Active,No,17100
L00100,C05893,Car Loan,38000,0.0919,1212,693,Closed,No,0
L00101,C03562,Education Loan,38000,0.08259999999999999,466,693,Closed,No,0
L00102,C06185,Car Loan,42000,0.09210000000000002,761,638,Active,No,6500
L00103,C19484,Education Loan,76000,0.0876,1214,629,Active,No,63100
L00104,C08393,Home Loan,500000,0.0785,3617,663,Closed,No,0
L00105,C13068,Home Loan,300000,0.053,2030,850,Active,Yes,208000
L00106,C15266,Personal Loan,8000,0.1258,213,612,Active,No,2300
L00107,C19489,Car Loan,14000,0.0998,259,649,Active,No,8600
L00108,C02455,Home Loan,350000,0.0823,3391,692,Active,No,200000
L00109,C11838,Car Loan,26000,0.1016,554,565,Active,Yes,15600
L00110,C14040,Personal Loan,5000,0.1169,444,726,Active,No,3100
L00111,C19116,Car Loan,64000,0.1087,1214,580,Active,No,44600
L00112,C10966,Home Loan,450000,0.0832,3854,597,Closed,No,0
L00113,C09763,Car Loan,54000,0.1068,1165,593,Active,No,6500
L00114,C05057,Car Loan,50000,0.1058,1077,550,Active,No,26300
L00115,C14949,Business Loan,150000,0.094,2444,797,Active,No,29000
L00116,C08111,Car Loan,60000,0.0814,1056,734,Active,No,48200
L00117,C13774,Car Loan,30000,0.0757,520,768,Closed,No,0
L00118,C20225,Business Loan,30000,0.09449999999999999,629,760,Active,No,13500
L00119,C17413,Car Loan,56000,0.0901,1010,675,Closed,No,0
L00120,C00503,Home Loan,100000,0.073,686,687,Active,No,72600
L00121,C06911,Education Loan,54000,0.0688,1066,776,Closed,No,0
L00122,C12686,Car Loan,14000,0.07,239,829,Active,No,7000
L00123,C20873,Personal Loan,31000,0.1406,1489,583,Active,No,19200
L00124,C00207,Car Loan,18000,0.0672,429,850,Active,No,6600
L00125,C21519,Education Loan,38000,0.099,629,578,Active,No,17800
L00126,C17869,Business Loan,90000,0.1145,1977,650,Active,No,31800
L00127,C15935,Business Loan,55000,0.1118,2568,696,Active,No,33600
L00128,C17248,Home Loan,325000,0.0783,2472,704,Closed,No,0
L00129,C19175,Personal Loan,33000,0.0947,2893,850,Active,No,16000
