transaction_id,customer_id,account_id,date,transaction_type,amount,merchant,payment_mode,status
T000001,C06022,A12934,2026-02-11,Debit,4418,MakeMyTrip,UPI,Success
T000002,C08795,A14436,2026-04-21,Debit,4503,Netflix,Bank Transfer,Success
T000003,C03627,A17992,2026-01-10,Debit,3113,Uber,Credit Card,Success
T000004,C02899,A18286,2026-07-15,Credit,81075,Bank Refund,Credit Card,Failed
T000005,C05836,A11983,2026-01-31,Debit,3137,Amazon,UPI,Success
T000006,C05192,A17266,2026-02-07,Debit,586,Airtel,Debit Card,Success
T000007,C08660,A12361,2026-07-08,Debit,4270,Airtel,Debit Card,Success
T000008,C00175,A18957,2026-06-04,Debit,2383,Amazon,UPI,Success
T000009,C04304,A11468,2026-07-25,Debit,1775,Electricity Board,UPI,Pending
T000010,C08683,A19962,2026-05-10,Debit,2196,Airtel,Bank Transfer,Success
T000011,C06230,A18628,2026-05-02,Debit,47,D-Mart,UPI,Success
T000012,C04287,A16715,2026-06-24,Debit,2514,Amazon,UPI,Success
T000013,C05856,A19511,2026-02-11,Credit,61037,Bank Refund,UPI,Success
T000014,C09343,A18370,2026-05-16,Credit,77784,UPI Received,UPI,Success
T000015,C02244,A16523,2026-07-21,Debit,3680,Swiggy,UPI,Success
T000016,C07678,A11465,2026-05-26,Debit,4150,Flipkart,Debit Card,Pending
T000017,C02628,A16069,2026-07-09,Debit,2214,Swiggy,Bank Transfer,Success
T000018,C07865,A13446,2026-05-14,Credit,95407,UPI Received,UPI,Failed
T000019,C08081,A19774,2026-01-02,Debit,4344,Electricity Board,UPI,Success
T000020,C05910,A15461,2026-02-20,Credit,42256,Bank Refund,Credit Card,Success
T000021,C03038,A10922,2026-03-24,Debit,4437,Amazon,UPI,Success
T000022,C02763,A17132,2026-04-24,Debit,493,MakeMyTrip,UPI,Failed
T000023,C02417,A10598,2026-07-21,Debit,1021,Electricity Board,UPI,Success
T000024,C08407,A13077,2026-03-23,Debit,1791,Swiggy,UPI,Success
T000025,C08100,A12146,2026-05-25,Debit,4768,Flipkart,Bank Transfer,Success
T000026,C06122,A17178,2026-01-18,Debit,3988,Flipkart,Debit Card,Success
T000027,C05867,A17385,2026-01-10,Debit,4227,D-Mart,UPI,Success
T000028,C06774,A12042,2026-07-21,Credit,81127,Cashback,Net Banking,Success
T000029,C06240,A16245,2026-02-08,Debit,3769,Amazon,Debit Card,Success
T000030,C08979,A10312,2026-02-20,Debit,1546,Flipkart,Debit Card,Success
T000031,C08103,A19155,2026-05-07,Credit,98373,Dividend,UPI,Success
T000032,C08564,A10061,2026-03-14,Debit,3221,Airtel,UPI,Success
T000033,C01026,A14792,2026-01-11,Debit,4115,Uber,UPI,Success
T000034,C09038,A11344,2026-01-09,Credit,90441,Interest Credit,Credit Card,Success
T000035,C06203,A19470,2026-07-11,Credit,34870,Salary,UPI,Success
T000036,C05279,A13616,2026-03-15,Debit,1311,MakeMyTrip,UPI,Success
T000037,C05288,A13995,2026-07-26,Debit,3719,Electricity Board,UPI,Success
T000038,C08433,A17724,2026-06-21,Debit,1733,Uber,UPI,Failed
T000039,C03902,A15215,2026-04-30,Debit,2404,MakeMyTrip,UPI,Success
T000040,C06272,A10601,2026-03-22,Debit,93,Zomato,UPI,Success
T000041,C07562,A15544,2026-01-22,Debit,2045,Netflix,Net Banking,Success
T000042,C06434,A10644,2026-06-08,Debit,58,Swiggy,UPI,Success
T000043,C09645,A18024,2026-05-30,Credit,91055,Cashback,Debit Card,Success
T000044,C05485,A15840,2026-02-13,Debit,2622,Electricity Board,Credit Card,Success
T000045,C09069,A12174,2026-04-09,Credit,79729,Dividend,UPI,Success
T000046,C07510,A13615,2026-04-09,Debit,2044,Amazon,Debit Card,Success
T000047,C04336,A12830,2026-01-23,Debit,167,Swiggy,Debit Card,Success
T000048,C00801,A14239,2026-02-14,Credit,85768,Bank Refund,Credit Card,Success
